"","Council","","2013","2014","2015","2016","2017","2018","2019"
"1","Aberdeen City","Climate change is an immediate and urgent problem","48.8","51.5","56.6","57.6","63.1","58.3","68.2"
"2","Aberdeen City","Climate change is more of a problem for the future","26.8","21.3","25.8","19.8","19.3","15.9","11.8"
"3","Aberdeen City","Climate change is not really a problem","5.8","7.8","4.5","6.6","6.8","7","6.3"
"4","Aberdeen City","I'm still not convinced that climate change is happening","11.9","11.7","9.1","10.2","6.6","12.9","6.6"
"5","Aberdeen City","None of these","3","2.2","1.3","4.6","0.8","-","-"
"6","Aberdeen City","Don't know","3.7","5.5","2.8","1.2","3.4","5.9","7.1"
"7","Aberdeen City","All","100","100","100","100","100","100","100"
"8","Aberdeen City","Base","310","290","110","110","120","110","100"
"9","Aberdeenshire","Climate change is an immediate and urgent problem","48.1","39.3","35.7","49.9","47.5","53.5","64.1"
"10","Aberdeenshire","Climate change is more of a problem for the future","23.2","29.6","28.6","20.9","26.4","17","15.6"
"11","Aberdeenshire","Climate change is not really a problem","10.8","12.6","12.7","7.5","4.1","2.5","3.3"
"12","Aberdeenshire","I'm still not convinced that climate change is happening","11.1","12.3","16.4","19.3","18.5","19","11.4"
"13","Aberdeenshire","None of these","3.2","3.2","4.3","1.4","0.4","-","1.6"
"14","Aberdeenshire","Don't know","3.5","3","2.2","1","3","7.9","4"
"15","Aberdeenshire","All","100","100","100","100","100","100","100"
"16","Aberdeenshire","Base","300","300","90","110","110","120","110"
"17","Angus","Climate change is an immediate and urgent problem","35.4","36.8","46.1","51.2","45.3","48.6","53"
"18","Angus","Climate change is more of a problem for the future","23.5","23.7","11.5","9.9","14.4","14","22.9"
"19","Angus","Climate change is not really a problem","10.8","8","3.2","5.2","8.2","12.4","4.2"
"20","Angus","I'm still not convinced that climate change is happening","21.3","19.4","26.5","24.3","19.2","17.4","13.3"
"21","Angus","None of these","1.9","1.6","-","2.6","-","1.4","-"
"22","Angus","Don't know","7.2","10.5","12.8","6.8","12.9","6.3","6.6"
"23","Angus","All","100","100","100","100","100","100","100"
"24","Angus","Base","220","260","80","70","70","70","70"
"25","Argyll & Bute","Climate change is an immediate and urgent problem","46.1","53.5","50.6","64","58.9","70.8","63.9"
"26","Argyll & Bute","Climate change is more of a problem for the future","22.9","18.4","18.5","12","12","10.1","13"
"27","Argyll & Bute","Climate change is not really a problem","5.9","8.4","-","5.8","0.7","-","5.1"
"28","Argyll & Bute","I'm still not convinced that climate change is happening","18.9","11.2","18.5","6.5","13.6","9.3","10.2"
"29","Argyll & Bute","None of these","1.8","0.5","-","-","0.9","-","-"
"30","Argyll & Bute","Don't know","4.3","8","12.4","11.8","13.9","9.9","7.9"
"31","Argyll & Bute","All","100","100","100","100","100","100","100"
"32","Argyll & Bute","Base","250","270","70","70","70","70","70"
"33","Clackmannanshire","Climate change is an immediate and urgent problem","42.1","40.2","55.6","61.8","80.3","62.7","73.9"
"34","Clackmannanshire","Climate change is more of a problem for the future","30.3","36.4","25.1","15.7","9.3","20.3","9.6"
"35","Clackmannanshire","Climate change is not really a problem","6.5","4.9","4.3","12.6","5.2","-","5.9"
"36","Clackmannanshire","I'm still not convinced that climate change is happening","15.4","11","9.8","4.4","4","10","7.9"
"37","Clackmannanshire","None of these","0.4","2.2","-","0.7","-","1.7","-"
"38","Clackmannanshire","Don't know","5.3","5.3","5.3","4.7","1.2","5.4","2.6"
"39","Clackmannanshire","All","100","100","100","100","100","100","100"
"40","Clackmannanshire","Base","280","250","80","80","90","60","70"
"41","Dumfries & Galloway","Climate change is an immediate and urgent problem","35.7","38.2","54.5","54.1","65.1","55.8","75.9"
"42","Dumfries & Galloway","Climate change is more of a problem for the future","28.1","22.6","14","17.4","17.2","20.4","14.5"
"43","Dumfries & Galloway","Climate change is not really a problem","6.4","11","6.5","5.5","4.2","7.1","0.6"
"44","Dumfries & Galloway","I'm still not convinced that climate change is happening","19.9","15.8","14.8","14.4","8","9.5","4.7"
"45","Dumfries & Galloway","None of these","2.8","4.5","2.7","3.8","-","1.6","-"
"46","Dumfries & Galloway","Don't know","7.1","7.9","7.4","4.7","5.5","5.6","4.2"
"47","Dumfries & Galloway","All","100","100","100","100","100","100","100"
"48","Dumfries & Galloway","Base","230","230","70","80","90","80","80"
"49","Dundee City","Climate change is an immediate and urgent problem","40.9","53.2","57","58","50","61.1","79.7"
"50","Dundee City","Climate change is more of a problem for the future","22","14.4","19.4","29.3","11.7","12.9","6.5"
"51","Dundee City","Climate change is not really a problem","6.8","8.9","8.6","4.2","4.8","5.4","3.6"
"52","Dundee City","I'm still not convinced that climate change is happening","8","11.5","6.5","2.5","14.2","7.4","4.7"
"53","Dundee City","None of these","4.7","1.3","1.9","1.8","1.3","1.5","-"
"54","Dundee City","Don't know","17.7","10.7","6.6","4.2","18","11.7","5.4"
"55","Dundee City","All","100","100","100","100","100","100","100"
"56","Dundee City","Base","250","250","80","80","70","90","70"
"57","East Ayrshire","Climate change is an immediate and urgent problem","43.4","45.6","47.5","52.2","61.1","56.6","60.6"
