"","Year","Council","Walking distance","1 - 20% most deprived","2","3","4","5 - 20% least deprived","All"
"1189","2019","Aberdeen City","In 5 minutes","*","50.6","46.7","44.8","58.5","52.1"
"1190","2019","Aberdeenshire","In 5 minutes","*","*","48.8","63.1","70.7","63.1"
"1191","2019","Angus","In 5 minutes","*","57.4","62.4","64.6","*","65.5"
"1192","2019","Argyll & Bute","In 5 minutes","*","*","65","58.9","*","59.6"
"1193","2019","Clackmannanshire","In 5 minutes","69.3","74.5","*","*","*","78.1"
"1194","2019","Dumfries & Galloway","In 5 minutes","*","70.3","88.6","92.1","*","85"
"1195","2019","Dundee City","In 5 minutes","46.1","34.2","*","*","*","47.6"
"1196","2019","East Ayrshire","In 5 minutes","65","61","*","*","*","65.7"
"1197","2019","East Dunbartonshire","In 5 minutes","*","68.9","*","66.1","62.4","64"
"1198","2019","East Lothian","In 5 minutes","*","82.7","85.5","80","*","84"
"1199","2019","East Renfrewshire","In 5 minutes","*","*","*","*","50.5","54.2"
"1200","2019","Edinburgh, City of","In 5 minutes","73.5","68.1","65.9","63.1","72","69.2"
"1201","2019","Falkirk","In 5 minutes","*","62.4","55.2","*","*","65.9"
"1202","2019","Fife","In 5 minutes","71.6","79.8","71.9","85.4","77.4","77.4"
"1203","2019","Glasgow City","In 5 minutes","55.6","61.1","47.2","54","54.4","55.1"
"1204","2019","Highland","In 5 minutes","*","67.1","74.6","66.6","*","68.7"
"1205","2019","Inverclyde","In 5 minutes","54.2","*","*","*","*","51.1"
"1206","2019","Midlothian","In 5 minutes","*","78.4","78.6","76.9","*","77.9"
"1207","2019","Moray","In 5 minutes","*","*","75.3","71.2","*","75.8"
"1208","2019","Na h-Eileanan Siar","In 5 minutes","-","*","81.3","-","-","82.6"
"1209","2019","North Ayrshire","In 5 minutes","62.1","*","*","*","*","64.9"
"1210","2019","North Lanarkshire","In 5 minutes","65.5","63.5","57.2","58.6","*","60.7"
"1211","2019","Orkney Islands","In 5 minutes","-","*","51.9","41","*","49.8"
"1212","2019","Perth & Kinross","In 5 minutes","*","*","*","64.5","67.4","65.9"
"1213","2019","Renfrewshire","In 5 minutes","46.8","*","*","*","54.2","48"
"1214","2019","Scotland","In 5 minutes","62.1","65.5","65.9","67.1","67.1","65.5"
"1215","2019","Scottish Borders","In 5 minutes","*","*","77.6","81.7","*","79.1"
"1216","2019","Shetland Islands","In 5 minutes","-","*","86","82.1","-","81.9"
"1217","2019","South Ayrshire","In 5 minutes","*","70.3","77","*","*","75.5"
"1218","2019","South Lanarkshire","In 5 minutes","63.2","64.2","62.9","60.6","66.7","63.5"
"1219","2019","Stirling","In 5 minutes","*","*","*","86.1","75.7","84.5"
"1220","2019","West Dunbartonshire","In 5 minutes","57.6","55.7","*","*","*","54.2"
"1221","2019","West Lothian","In 5 minutes","*","76.2","*","*","*","80.8"
"1222","2019","Aberdeen City","6-10 minutes","*","21.5","18.5","16.9","23.1","20.6"
"1223","2019","Aberdeenshire","6-10 minutes","*","*","16","11","16.9","14.1"
"1224","2019","Angus","6-10 minutes","*","29.9","20.1","13.6","*","18"
"1225","2019","Argyll & Bute","6-10 minutes","*","*","11.8","16.3","*","17.9"
"1226","2019","Clackmannanshire","6-10 minutes","22.7","15.7","*","*","*","15.6"
"1227","2019","Dumfries & Galloway","6-10 minutes","*","19.4","5.7","1.5","*","8.7"
"1228","2019","Dundee City","6-10 minutes","36.7","51.7","*","*","*","33.4"
"1229","2019","East Ayrshire","6-10 minutes","28.9","30.8","*","*","*","24"
"1230","2019","East Dunbartonshire","6-10 minutes","*","15","*","16","18.5","17.3"
"1231","2019","East Lothian","6-10 minutes","*","13.8","7.5","7.5","*","9.7"
"1232","2019","East Renfrewshire","6-10 minutes","*","*","*","*","30","29.6"
"1233","2019","Edinburgh, City of","6-10 minutes","21.2","20.7","25.7","28.1","17","21.2"
"1234","2019","Falkirk","6-10 minutes","*","19.6","33","*","*","23.2"
"1235","2019","Fife","6-10 minutes","22","16.6","23.5","8.8","15.5","17.1"
"1236","2019","Glasgow City","6-10 minutes","23.3","24.9","33.6","27.3","25.9","25.6"
"1237","2019","Highland","6-10 minutes","*","16.4","12","18.7","*","17.2"
"1238","2019","Inverclyde","6-10 minutes","24.8","*","*","*","*","29.3"
"1239","2019","Midlothian","6-10 minutes","*","17.1","18","6.5","*","13.8"
"1240","2019","Moray","6-10 minutes","*","*","11.7","11.8","*","11.4"
"1241","2019","Na h-Eileanan Siar","6-10 minutes","-","*","17.6","-","-","16.4"
"1242","2019","North Ayrshire","6-10 minutes","28.2","*","*","*","*","24"
"1243","2019","North Lanarkshire","6-10 minutes","21.2","14","21.8","13.4","*","19.8"
"1244","2019","Orkney Islands","6-10 minutes","-","*","18.8","15.5","*","16.1"
"1245","2019","Perth & Kinross","6-10 minutes","*","*","*","11.8","18.4","14"
"1246","2019","Renfrewshire","6-10 minutes","39","*","*","*","33.4","35.5"
"1247","2019","Scotland","6-10 minutes","23.2","21.4","19.2","16.5","19.4","19.9"
"1248","2019","Scottish Borders","6-10 minutes","*","*","15.8","12.4","*","15.4"
"1249","2019","Shetland Islands","6-10 minutes","-","*","4.6","11.3","-","8.5"
"1250","2019","South Ayrshire","6-10 minutes","*","19.6","13.1","*","*","15.7"
"1251","2019","South Lanarkshire","6-10 minutes","20.3","18.3","17.8","20.8","11.5","18"
"1252","2019","Stirling","6-10 minutes","*","*","*","11","17.3","11.6"
"1253","2019","West Dunbartonshire","6-10 minutes","20.6","20.1","*","*","*","24.4"
"1254","2019","West Lothian","6-10 minutes","*","17.4","*","*","*","15.1"
"1255","2019","Aberdeen City","11 minute walk or more","*","27.8","31.5","37","16.9","25.8"
"1256","2019","Aberdeenshire","11 minute walk or more","*","*","35.2","23.9","12.4","22"
"1257","2019","Angus","11 minute walk or more","*","6.4","16.3","20.2","*","14.2"
"1258","2019","Argyll & Bute","11 minute walk or more","*","*","9.9","23.3","*","14.9"
"1259","2019","Clackmannanshire","11 minute walk or more","7.9","8.9","*","*","*","6"
"1260","2019","Dumfries & Galloway","11 minute walk or more","*","10.3","5.2","6.4","*","6.1"
"1261","2019","Dundee City","11 minute walk or more","13.8","11.8","*","*","*","15"
"1262","2019","East Ayrshire","11 minute walk or more","5.6","6.8","*","*","*","9.4"
"1263","2019","East Dunbartonshire","11 minute walk or more","*","13.8","*","13.1","16.1","15.4"
"1264","2019","East Lothian","11 minute walk or more","*","3.5","7","12.5","*","6.3"
"1265","2019","East Renfrewshire","11 minute walk or more","*","*","*","*","19.6","15.5"
"1266","2019","Edinburgh, City of","11 minute walk or more","5.3","11.2","7.1","8.9","10.6","9.4"
"1267","2019","Falkirk","11 minute walk or more","*","13.1","5.6","*","*","8.2"
"1268","2019","Fife","11 minute walk or more","6.4","3.6","4.6","5.8","7.1","5.6"
"1269","2019","Glasgow City","11 minute walk or more","17.1","11.1","16.4","16.4","14.6","15.6"
"1270","2019","Highland","11 minute walk or more","*","14","13","14.7","*","12.5"
"1271","2019","Inverclyde","11 minute walk or more","20.5","*","*","*","*","17.7"
"1272","2019","Midlothian","11 minute walk or more","*","4.5","3.4","16.6","*","8.3"
"1273","2019","Moray","11 minute walk or more","*","*","13","14.3","*","12"
"1274","2019","Na h-Eileanan Siar","11 minute walk or more","-","*","1.1","-","-","0.9"
"1275","2019","North Ayrshire","11 minute walk or more","7.6","*","*","*","*","9.9"
"1276","2019","North Lanarkshire","11 minute walk or more","12.3","19","18.3","21.9","*","16.9"
"1277","2019","Orkney Islands","11 minute walk or more","-","*","29.3","43.5","*","33.7"
"1278","2019","Perth & Kinross","11 minute walk or more","*","*","*","20.6","14.2","19.1"
"1279","2019","Renfrewshire","11 minute walk or more","12.8","*","*","*","11.4","14.9"
