"","Year","Council","","20% most deprived","2","3","4","20% least deprived","All"
"1","2012","Aberdeen City","Vandalism / graffiti / damage to property","*","10.6","*","*","3.3","9.9"
"2","2012","Aberdeenshire","Vandalism / graffiti / damage to property","*","*","4.2","2.2","1.9","3.7"
"3","2012","Angus","Vandalism / graffiti / damage to property","*","16.8","5.7","2.9","*","7.7"
"4","2012","Argyll & Bute","Vandalism / graffiti / damage to property","*","19.9","3.8","3.1","*","7.8"
"5","2012","Clackmannanshire","Vandalism / graffiti / damage to property","31.4","10.1","12.9","*","*","13.5"
"6","2012","Dumfries & Galloway","Vandalism / graffiti / damage to property","*","13.5","5.6","7.2","*","7.4"
"7","2012","Dundee City","Vandalism / graffiti / damage to property","23.3","7.7","*","*","*","14.6"
"8","2012","East Ayrshire","Vandalism / graffiti / damage to property","20.5","7.7","*","*","*","12.1"
"9","2012","East Dunbartonshire","Vandalism / graffiti / damage to property","*","*","*","5.3","4.4","9.3"
"10","2012","East Lothian","Vandalism / graffiti / damage to property","*","*","*","0.5","*","6.7"
"11","2012","East Renfrewshire","Vandalism / graffiti / damage to property","*","*","*","*","7.6","7.5"
"12","2012","Edinburgh, City of","Vandalism / graffiti / damage to property","31","22.3","22.3","18.4","4.9","15.5"
"13","2012","Falkirk","Vandalism / graffiti / damage to property","*","12","2.7","*","*","9"
"14","2012","Fife","Vandalism / graffiti / damage to property","20.1","12.3","6.9","1.6","3","8.9"
"15","2012","Glasgow City","Vandalism / graffiti / damage to property","29.9","21.7","11.7","10.1","17.4","22.3"
"16","2012","Highland","Vandalism / graffiti / damage to property","*","5.1","5.2","1.9","*","5.3"
"17","2012","Inverclyde","Vandalism / graffiti / damage to property","13.6","*","*","*","*","8.5"
"18","2012","Midlothian","Vandalism / graffiti / damage to property","*","21.3","13.9","*","*","14.1"
"19","2012","Moray","Vandalism / graffiti / damage to property","*","*","5.7","3.1","*","5.7"
"20","2012","Na-h Eileanan Siar","Vandalism / graffiti / damage to property","-","3.2","2","*","-","2.5"
"21","2012","North Ayrshire","Vandalism / graffiti / damage to property","15.4","10.7","*","7.2","*","10.7"
"22","2012","North Lanarkshire","Vandalism / graffiti / damage to property","25.7","16.1","9.4","*","*","15.2"
"23","2012","Orkney Islands","Vandalism / graffiti / damage to property","-","2.6","*","-","*","0.5"
"24","2012","Perth & Kinross","Vandalism / graffiti / damage to property","*","*","*","-","1.1","5.6"
"25","2012","Renfrewshire","Vandalism / graffiti / damage to property","16.3","13.7","10","*","4","9.9"
"26","2012","Scotland","Vandalism / graffiti / damage to property","24.4","14.4","8.9","5","5","11.5"
