"","Year","Council","Rating","20% most deprived","2","3","4","20% least deprived","All"
"1","2012","Aberdeen City","Very/fairly good","*","95.8","*","*","99.4","94.4"
"2","2012","Aberdeenshire","Very/fairly good","*","*","98","98.9","98.9","97.6"
"3","2012","Angus","Very/fairly good","*","81.9","87.2","98.1","*","91.2"
"4","2012","Argyll & Bute","Very/fairly good","*","77.8","100","91.6","*","90.4"
"5","2012","Clackmannanshire","Very/fairly good","77.1","92.8","84.6","*","*","87"
"6","2012","Dumfries & Galloway","Very/fairly good","*","98","96.9","99","*","97.8"
"7","2012","Dundee City","Very/fairly good","83","99.1","*","*","*","94.3"
"8","2012","East Ayrshire","Very/fairly good","80.9","91","*","*","*","90.3"
"9","2012","East Dunbartonshire","Very/fairly good","*","*","*","100","99.6","96.6"
"10","2012","East Lothian","Very/fairly good","*","*","*","98.4","*","95.5"
"11","2012","East Renfrewshire","Very/fairly good","*","*","*","*","100","99.6"
"12","2012","Edinburgh, City of","Very/fairly good","79.5","91.9","95.1","97.9","99.5","94.9"
"13","2012","Falkirk","Very/fairly good","*","93.9","96.3","*","*","95.4"
"14","2012","Fife","Very/fairly good","81.5","93","95.6","97","97.9","92.9"
"15","2012","Glasgow City","Very/fairly good","78.4","92.5","90.6","100","97.1","87.2"
"16","2012","Highland","Very/fairly good","*","96.4","95.7","95.5","*","95.3"
"17","2012","Inverclyde","Very/fairly good","96","*","*","*","*","97.1"
"18","2012","Midlothian","Very/fairly good","*","94","94.5","*","*","94.8"
"19","2012","Moray","Very/fairly good","*","*","99.4","98.2","*","98.6"
"20","2012","Na-h Eileanan Siar","Very/fairly good","-","100","99","*","-","99.5"
"21","2012","North Ayrshire","Very/fairly good","84.7","94.2","*","99.2","*","92.2"
"22","2012","North Lanarkshire","Very/fairly good","90.1","94.3","95.2","*","*","94.3"
"23","2012","Orkney Islands","Very/fairly good","-","93.4","*","98.2","*","97.6"
"24","2012","Perth & Kinross","Very/fairly good","*","*","*","96.2","100","93.7"
"25","2012","Renfrewshire","Very/fairly good","85.3","87.2","97.3","*","100","93"
"26","2012","Scotland","Very/fairly good","82.1","93","95.7","98.2","99.2","93.7"
"27","2012","Scottish Borders","Very/fairly good","*","*","97.9","98.6","*","97.5"
"28","2012","Shetland Islands","Very/fairly good","-","*","95.9","99.6","*","97.5"
"29","2012","South Ayrshire","Very/fairly good","*","96.2","98.6","*","100","96.7"
"30","2012","South Lanarkshire","Very/fairly good","79.1","96.6","94.6","99.3","100","94.3"
"31","2012","Stirling","Very/fairly good","*","96.9","*","100","99.2","97.1"
"32","2012","West Dunbartonshire","Very/fairly good","79.5","94","93.1","*","*","89.5"
"33","2012","West Lothian","Very/fairly good","*","85.9","99.1","*","*","91.4"
"34","2012","Aberdeen City","Very good","*","25.2","*","*","72","55.3"
"35","2012","Aberdeenshire","Very good","*","*","61.1","72.8","72.3","67.2"
"36","2012","Angus","Very good","*","29","58","68.8","*","58.5"
"37","2012","Argyll & Bute","Very good","*","44.6","84.9","79","*","69.8"
"38","2012","Clackmannanshire","Very good","14.8","38.4","32.2","*","*","36.2"
