"","Council","Status","1999/2000","2001/2002","2003/2004","2005/2006","2007/2008","2009/2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"1","Aberdeen City","Manage very well and manage quite well","45","51","56.7","53.2","59.6","57.6","*","58.2","52.2","66.1","66","61.9","60.1","56.5","54.7"
"7","Aberdeenshire","Manage very well and manage quite well","46.1","55.1","50.2","56.3","64.7","57.7","*","54.5","54.8","58","65.9","63.8","61.9","63.8","60.9"
"13","Angus","Manage very well and manage quite well","43","48.2","46","51.2","60.8","50.4","*","50.8","49.2","53","51.8","57.3","57.1","57.6","62.4"
"19","Argyll & Bute","Manage very well and manage quite well","45.6","48","44.8","50.9","51.2","53.3","*","52.7","50.9","64.1","67.2","65","63.2","65.3","67"
"25","Clackmannanshire","Manage very well and manage quite well","37.8","48.5","45.9","52.2","52.1","51.6","*","45.8","53","58.6","57.9","52.3","49.2","52.8","53.4"
"31","Dumfries & Galloway","Manage very well and manage quite well","42.1","46.7","46.4","46.1","50.8","52","*","41.9","48.4","41.9","49.1","54.1","63.3","55.2","46.7"
"37","Dundee City","Manage very well and manage quite well","37.7","42.5","50.9","49.7","50","49.3","*","45.2","40","39.9","49.2","46.7","40.9","43.2","56.4"
"43","East Ayrshire","Manage very well and manage quite well","37.7","46.5","42.1","40.1","48.8","42.1","*","39.4","42.5","48.1","44.4","52.4","59.6","46","58.3"
"49","East Dunbartonshire","Manage very well and manage quite well","47.2","55.1","53.4","58.8","61.3","51.4","*","54.4","51.4","66.8","63.4","72.8","65","63.7","73.5"
"55","East Lothian","Manage very well and manage quite well","45.5","51.5","52.2","51.6","57.4","45.3","*","53.8","52.7","54.9","66.7","58.3","51.6","60.7","59"
"61","East Renfrewshire","Manage very well and manage quite well","52.2","57.4","55.2","54.1","51.2","53.3","*","55.9","51.8","56.2","61.7","66.5","64.2","61.7","63.9"
"67","Edinburgh, City of","Manage very well and manage quite well","48.6","53.5","53.2","47.1","53.6","51.8","*","54.4","55.1","59.3","63.4","59.8","61.4","59.7","59.1"
"73","Falkirk","Manage very well and manage quite well","41.7","50.1","55.6","41","54.6","48","*","43.5","55","50","58.4","50.2","57.1","58.9","51.6"
"79","Fife","Manage very well and manage quite well","40.7","51.4","50","50.6","52.2","49.6","*","52.5","52.5","56.4","59.8","65.2","54.4","53.2","58"
"85","Glasgow City","Manage very well and manage quite well","28.5","34.6","36.6","37.2","43.7","41.6","*","34.8","35.2","36","45.8","48","51.9","47.6","48.4"
"91","Highland","Manage very well and manage quite well","41.2","47.3","50.5","51.5","52.8","49.9","*","46.6","47.7","47.6","52.6","61.2","61.7","55.8","52.7"
"97","Inverclyde","Manage very well and manage quite well","35.8","39.4","39.4","44","49.1","45.3","*","42.6","38.3","50.8","45.6","49.4","54","52.6","57.5"
"103","Midlothian","Manage very well and manage quite well","45.4","48.4","49.6","48.9","51.6","48.1","*","54.5","49.4","53.8","60","59.8","55.5","60.4","57.8"
"109","Moray","Manage very well and manage quite well","43.4","48.6","58.7","50.5","55.3","61.2","*","51","54.3","56.5","54.2","52.7","55.7","47.7","52.2"
"115","Na h-Eileanan Siar","Manage very well and manage quite well","46.2","63.3","52.9","54.8","51.5","48.7","*","47","54.5","54","61.5","56.6","69.4","69.2","66.1"
"121","North Ayrshire","Manage very well and manage quite well","38.1","41.1","33.2","39.9","50","49.2","*","35.4","35.7","44.3","46.8","48.8","51.9","61.8","49.3"
"127","North Lanarkshire","Manage very well and manage quite well","34.3","37.7","39.7","43.8","48.1","45.9","*","39.8","40.7","46.6","47.7","50.6","50.1","48.2","48.2"
"133","Orkney Islands","Manage very well and manage quite well","46.3","49.8","59.4","55.8","60.7","51.9","*","56.9","64.2","65.7","65.2","66.7","72","62.1","66.3"
"139","Perth & Kinross","Manage very well and manage quite well","50.9","57.2","65.9","55.5","60.3","60.4","*","57.3","55.2","55.6","52.5","52.6","54.2","56.5","57.4"
"145","Renfrewshire","Manage very well and manage quite well","38.3","45.1","41.9","47","49","42.1","*","34","47.8","58.4","53","54.9","55.6","53.1","53.7"
"151","Scotland","Manage very well and manage quite well","40.5","46.8","47.1","47.4","52.3","49.2","47.1","47","48","51.6","54.9","56.2","56.1","55.5","55.5"
"157","Scottish Borders","Manage very well and manage quite well","40.2","51.5","43.9","51.6","53.5","50.4","*","58.5","54.7","54.2","59.7","60","57.8","68.6","59.7"
"163","Shetland Islands","Manage very well and manage quite well","41.4","57.3","63.8","56.4","59.8","64.2","*","61.1","55.1","56.2","58.8","57.4","66.2","53.8","61.9"
"169","South Ayrshire","Manage very well and manage quite well","42.5","44.9","48.4","49.3","54.2","51.1","*","53.1","54.7","52.6","51.8","58.1","58.5","58","61.2"
"175","South Lanarkshire","Manage very well and manage quite well","39.6","45","43.4","46.9","52.8","45.1","*","42.6","40.6","50.6","48.1","49.8","49.1","53.6","55.5"
"181","Stirling","Manage very well and manage quite well","49.8","60.4","56.1","55.6","57","52.8","*","60.9","69.2","65","63.6","59.2","61.8","64.9","60.9"
"187","West Dunbartonshire","Manage very well and manage quite well","31.1","37.2","32.4","37.9","50.1","44","*","37.7","48.8","47.2","52.6","57","54.6","50.7","52.6"
"193","West Lothian","Manage very well and manage quite well","41.1","46.2","47.2","47.1","45.7","48.4","*","45.9","52.1","47.8","53.4","59.5","55.5","63","52.7"
