"","Council","Internet Access","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"1","Aberdeen City","Yes","43.1","49.9","55.1","57.3","60.6","67.2","68.2","72.8","*","76.6","80.2","81.6","84.5","84.3","89.2","89.5","89.1"
"2","Aberdeen City","No","56.9","50","44.9","42.7","39.4","32.6","31.2","27.2","*","23.4","19.8","18.4","15.5","15.7","10.8","10.5","10.9"
"3","Aberdeen City","Don't know","-","0.1","-","-","-","0.2","0.5","-","*","-","-","-","-","-","-","-","-"
"4","Aberdeen City","All","100","100","100","100","100","100","100","100","*","100","100","100","100","100","100","100","100"
"5","Aberdeen City","Base","600","630","640","590","430","410","390","410","*","120","120","90","110","110","130","110","100"
"6","Aberdeenshire","Yes","51.6","54.3","61.8","64.6","67.4","69.2","69.3","69.8","*","79.3","83.8","85.9","86.2","84.1","86.1","86.8","87.2"
"7","Aberdeenshire","No","48.1","45.7","38.2","35.4","32.6","30.8","30.7","30.2","*","20.7","16.2","14.1","13.8","15.9","13.9","13.2","12.8"
"8","Aberdeenshire","Don't know","0.3","-","-","-","-","-","-","-","*","-","-","-","-","-","-","-","-"
"9","Aberdeenshire","All","100","100","100","100","100","100","100","100","*","100","100","100","100","100","100","100","100"
"10","Aberdeenshire","Base","610","630","600","640","600","500","500","490","*","100","110","100","90","100","110","130","130"
"11","Angus","Yes","44.1","43.8","43.8","58.5","56","59.8","69.6","69.1","*","74.6","73.1","82.8","85.3","82","84.8","85.5","80"
"12","Angus","No","55.6","56.2","56.2","41.5","44","40.2","30.4","30.9","*","25.4","26.9","17.2","14.7","18","15.2","14.5","20"
"13","Angus","Don't know","0.3","-","-","-","-","-","-","-","*","-","-","-","-","-","-","-","-"
"14","Angus","All","100","100","100","100","100","100","100","100","*","100","100","100","100","100","100","100","100"
"15","Angus","Base","310","320","340","280","230","190","200","210","*","90","80","100","80","70","70","70","60"
"16","Argyll & Bute","Yes","37.7","51.1","52.4","53.6","59.3","64.4","69","71.2","*","71.5","75.3","83.4","69.9","85.8","87","90.8","91.8"
"17","Argyll & Bute","No","61.9","48.6","47.6","46.4","40.7","35.6","31","28.8","*","28.5","24.7","16.6","30.1","14.2","13","9.2","8.2"
"18","Argyll & Bute","Don't know","0.4","0.3","-","-","-","-","-","-","*","-","-","-","-","-","-","-","-"
"19","Argyll & Bute","All","100","100","100","100","100","100","100","100","*","100","100","100","100","100","100","100","100"
"20","Argyll & Bute","Base","270","290","290","300","310","300","260","250","*","90","90","80","80","80","70","60","70"
"21","Clackmannanshire","Yes","46.8","37.6","44","53.4","51.5","65.6","68.8","69.1","*","72","79.1","85.2","73.7","83.2","72.4","74.5","82.5"
"22","Clackmannanshire","No","53.2","62.4","56","46.6","48.5","34.4","31.2","30.9","*","28","20.9","14.8","26.3","16.8","27.6","25.5","17.5"
"23","Clackmannanshire","Don't know","-","-","-","-","-","-","-","-","*","-","-","-","-","-","-","-","-"
"24","Clackmannanshire","All","100","100","100","100","100","100","100","100","*","100","100","100","100","100","100","100","100"
"25","Clackmannanshire","Base","260","320","300","340","200","210","210","180","*","90","90","80","80","80","80","60","60"
"26","Dumfries & Galloway","Yes","39.7","37.6","44.1","50.3","50.2","55.3","58.5","63.9","*","74.6","78.3","75.5","75.7","86.6","76.3","77.3","80.5"
"27","Dumfries & Galloway","No","60.3","61.9","55.9","49.4","49.4","44.7","41","36.1","*","25.4","21.7","22.9","24.3","13.4","22.5","22.7","18.7"
