"","Year","Council","","1 - 20% most deprived","2","3","4","5 - 20% least deprived","All"
"1","2013","Aberdeen City","Any sport incl. walking","*","64.3","70.2","*","86.5","76.2"
"2","2013","Aberdeenshire","Any sport incl. walking","*","*","83.8","72.4","87.3","80.3"
"3","2013","Angus","Any sport incl. walking","*","*","69.9","81","*","76.2"
"4","2013","Argyll & Bute","Any sport incl. walking","*","*","63","81.7","*","73.1"
"5","2013","Clackmannanshire","Any sport incl. walking","75.3","77.6","86.4","*","*","78.2"
"6","2013","Dumfries & Galloway","Any sport incl. walking","*","82.8","84","61.6","*","75.7"
"7","2013","Dundee City","Any sport incl. walking","76","74.5","*","*","*","78.3"
"8","2013","East Ayrshire","Any sport incl. walking","67.4","65.9","*","*","*","72.9"
"9","2013","East Dunbartonshire","Any sport incl. walking","*","*","*","*","87.6","79"
"10","2013","East Lothian","Any sport incl. walking","*","66.5","*","86.5","*","77.6"
"11","2013","East Renfrewshire","Any sport incl. walking","*","*","*","*","89.4","84.2"
"12","2013","Edinburgh, City of","Any sport incl. walking","80.7","78","78.1","84.6","88.8","84"
"13","2013","Falkirk","Any sport incl. walking","*","66.1","*","*","*","77.4"
"14","2013","Fife","Any sport incl. walking","65.9","71.4","72.3","80.5","85.9","75.4"
"15","2013","Glasgow City","Any sport incl. walking","73.1","69.7","78.4","85.1","79.6","75.2"
"16","2013","Highland","Any sport incl. walking","*","79.5","79.5","92.2","*","82.4"
"17","2013","Inverclyde","Any sport incl. walking","59.7","*","*","*","*","72.2"
"18","2013","Midlothian","Any sport incl. walking","*","61","88.1","68.8","*","71.7"
"19","2013","Moray","Any sport incl. walking","*","*","78.7","86.6","*","82.7"
"20","2013","Na h-Eileanan Siar","Any sport incl. walking","-","77.5","74.4","*","-","75.3"
"21","2013","North Ayrshire","Any sport incl. walking","73","76.7","*","*","*","77.1"
"22","2013","North Lanarkshire","Any sport incl. walking","66.9","72.2","77.5","*","*","75.3"
"23","2013","Orkney Islands","Any sport incl. walking","-","79.5","*","83.2","*","82.8"
"24","2013","Perth & Kinross","Any sport incl. walking","*","*","*","85.6","82.3","84.3"
"25","2013","Renfrewshire","Any sport incl. walking","55.4","81.4","76.7","*","*","72.8"
"26","2013","Scotland","Any sport incl. walking","71.4","72.8","77.8","82.2","85.9","78.1"
"27","2013","Scottish Borders","Any sport incl. walking","*","*","86.4","79.9","*","82"
"28","2013","Shetland Islands","Any sport incl. walking","-","*","83.3","80.8","*","82.3"
"29","2013","South Ayrshire","Any sport incl. walking","*","69.6","74.6","*","84","77.6"
"30","2013","South Lanarkshire","Any sport incl. walking","72.8","72","79.4","84.2","85.2","78.3"
"31","2013","Stirling","Any sport incl. walking","*","90.9","*","91.6","89.9","89.3"
"32","2013","West Dunbartonshire","Any sport incl. walking","71.6","74.6","71","*","*","75"
"33","2013","West Lothian","Any sport incl. walking","*","66.8","84.7","*","*","78.5"
"34","2013","Aberdeen City","Any sport excl. walking","*","45.5","61.3","*","59.8","54.6"
"35","2013","Aberdeenshire","Any sport excl. walking","*","*","42.9","44.8","56.1","48.2"
"36","2013","Angus","Any sport excl. walking","*","*","40.7","60.1","*","53.5"
"37","2013","Argyll & Bute","Any sport excl. walking","*","*","45.2","59.5","*","49.3"
"38","2013","Clackmannanshire","Any sport excl. walking","50.1","55.7","56.5","*","*","55.1"
"39","2013","Dumfries & Galloway","Any sport excl. walking","*","41.6","46.4","24.1","*","39.6"
"40","2013","Dundee City","Any sport excl. walking","42.5","53.4","*","*","*","51.7"
"41","2013","East Ayrshire","Any sport excl. walking","38.2","41.4","*","*","*","44.8"
"42","2013","East Dunbartonshire","Any sport excl. walking","*","*","*","*","63.3","57.5"
"43","2013","East Lothian","Any sport excl. walking","*","36.8","*","69.8","*","56.2"
"44","2013","East Renfrewshire","Any sport excl. walking","*","*","*","*","60.7","58.5"
"45","2013","Edinburgh, City of","Any sport excl. walking","44.2","53","52.2","59.1","69.6","60"
"46","2013","Falkirk","Any sport excl. walking","*","42.6","*","*","*","50.6"
