"","Year","Council","","Man / Boy","Woman / Girl","Identified in another way","Refused","16-34","35-59","60 plus","All"
"1","2013","Aberdeen City","Walking (at least 30 min)","64","64.7","-","-","66.2","70.6","51.4","64.4"
"2","2013","Aberdeenshire","Walking (at least 30 min)","69.4","71.5","-","-","66","77","64.3","70.5"
"3","2013","Angus","Walking (at least 30 min)","65.3","70.5","-","-","*","62.7","66","68"
"4","2013","Argyll & Bute","Walking (at least 30 min)","63.8","60.5","-","-","*","64.9","53.9","62.1"
"5","2013","Clackmannanshire","Walking (at least 30 min)","67.7","62.2","-","-","73","73.1","44.7","64.9"
"6","2013","Dumfries & Galloway","Walking (at least 30 min)","56.3","78.7","-","-","*","76","53.4","67.9"
"7","2013","Dundee City","Walking (at least 30 min)","61.2","71.2","-","-","75.7","70.1","48.6","66.4"
"8","2013","East Ayrshire","Walking (at least 30 min)","48","57.5","-","-","*","56.7","42.3","53"
"9","2013","East Dunbartonshire","Walking (at least 30 min)","65.5","62.6","-","-","*","69.8","55.5","64"
"10","2013","East Lothian","Walking (at least 30 min)","60.8","66.7","-","-","*","76.1","46.6","63.9"
"11","2013","East Renfrewshire","Walking (at least 30 min)","63.1","65.5","-","-","*","83.4","50.5","64.4"
"12","2013","Edinburgh, City of","Walking (at least 30 min)","69.9","72","-","-","71.7","75.6","62.9","71"
"13","2013","Falkirk","Walking (at least 30 min)","60.9","64.4","-","-","*","65.7","49.5","62.7"
"14","2013","Fife","Walking (at least 30 min)","62.1","67","-","-","72.1","65.3","56.8","64.7"
"15","2013","Glasgow City","Walking (at least 30 min)","62.6","61.9","-","-","69.4","63.3","47.8","62.2"
"16","2013","Highland","Walking (at least 30 min)","72.1","73.9","-","-","*","80.3","54.2","73"
"17","2013","Inverclyde","Walking (at least 30 min)","63.3","59.6","-","-","65.4","64.2","53.5","61.3"
"18","2013","Midlothian","Walking (at least 30 min)","56.7","55.6","-","-","*","59","49.2","56.1"
"19","2013","Moray","Walking (at least 30 min)","62.8","73.4","-","-","63.5","79.5","56.5","68.3"
"20","2013","Na h-Eileanan Siar","Walking (at least 30 min)","67.4","69.4","-","-","*","78.9","50.5","68.4"
"21","2013","North Ayrshire","Walking (at least 30 min)","66.7","61.9","-","-","65.8","74.8","46.7","64.1"
"22","2013","North Lanarkshire","Walking (at least 30 min)","55.7","59.3","-","-","65.6","62.5","40.1","57.6"
"23","2013","Orkney Islands","Walking (at least 30 min)","69.4","78.8","-","-","85.2","76.4","63.7","74.2"
"24","2013","Perth & Kinross","Walking (at least 30 min)","74.8","73.6","-","-","*","82.6","63.7","74.2"
"25","2013","Renfrewshire","Walking (at least 30 min)","61","54.2","-","-","49.4","71.1","46","57.4"
"26","2013","Scotland","Walking (at least 30 min)","63.9","66.4","-","-","69.7","69.7","53.8","65.2"
"27","2013","Scottish Borders","Walking (at least 30 min)","67.6","70.3","-","-","68.9","74.9","62","69"
"28","2013","Shetland Islands","Walking (at least 30 min)","60.3","76.8","-","-","78.6","75.5","47.4","68.5"
"29","2013","South Ayrshire","Walking (at least 30 min)","62.4","70.4","-","-","79.9","66.9","57.7","66.6"
