"Year","Geographylevel","Indicator","Categories","Age","Percent","Mean","LowerCI","UpperCI"
"2012","Scotland","Summary activity levels","Meets recommendations","16-24",75,NA,70.7,80.2
"2012","Scotland","Summary activity levels","Some activity","16-24",12,NA,8.2,15.7
"2012","Scotland","Summary activity levels","Low activity","16-24",4,NA,1.9,6
"2012","Scotland","Summary activity levels","Very low activity","16-24",9,NA,5.5,11.8
"2012","Scotland","Summary activity levels","Meets recommendations","25-34",70,NA,65.3,73.7
"2012","Scotland","Summary activity levels","Some activity","25-34",13,NA,9.9,16.7
"2012","Scotland","Summary activity levels","Low activity","25-34",5,NA,2.9,7.3
"2012","Scotland","Summary activity levels","Very low activity","25-34",12,NA,8.9,15.2
"2012","Scotland","Summary activity levels","Meets recommendations","35-44",71,NA,67.4,75
"2012","Scotland","Summary activity levels","Some activity","35-44",13,NA,10.4,15.9
"2012","Scotland","Summary activity levels","Low activity","35-44",3,NA,1.7,4
"2012","Scotland","Summary activity levels","Very low activity","35-44",13,NA,10.1,15.5
"2012","Scotland","Summary activity levels","Meets recommendations","45-54",66,NA,62.8,69.9
"2012","Scotland","Summary activity levels","Some activity","45-54",9,NA,7,11.6
"2012","Scotland","Summary activity levels","Low activity","45-54",4,NA,2.8,6.1
"2012","Scotland","Summary activity levels","Very low activity","45-54",20,NA,16.9,23
"2012","Scotland","Summary activity levels","Meets recommendations","55-64",57,NA,53.2,61.2
"2012","Scotland","Summary activity levels","Some activity","55-64",11,NA,8.5,14
"2012","Scotland","Summary activity levels","Low activity","55-64",6,NA,4.3,8.1
"2012","Scotland","Summary activity levels","Very low activity","55-64",25,NA,21.5,29.1
"2012","Scotland","Summary activity levels","Meets recommendations","65-74",54,NA,50.1,58.1
"2012","Scotland","Summary activity levels","Some activity","65-74",12,NA,9.7,14.9
"2012","Scotland","Summary activity levels","Low activity","65-74",4,NA,2.7,6.1
"2012","Scotland","Summary activity levels","Very low activity","65-74",29,NA,25.4,33
"2012","Scotland","Summary activity levels","Meets recommendations","75+",25,NA,20.7,29.1
"2012","Scotland","Summary activity levels","Some activity","75+",11,NA,8,13.8
"2012","Scotland","Summary activity levels","Low activity","75+",6,NA,3.6,8
"2012","Scotland","Summary activity levels","Very low activity","75+",58,NA,53.9,62.9
"2012","Scotland","Summary activity levels","Meets recommendations","All",62,NA,60.6,64.2
"2012","Scotland","Summary activity levels","Some activity","All",12,NA,10.5,12.9
"2012","Scotland","Summary activity levels","Low activity","All",5,NA,3.9,5.3
"2012","Scotland","Summary activity levels","Very low activity","All",21,NA,19.8,22.8
"2013","Scotland","Summary activity levels","Meets recommendations","16-24",79,NA,75.2,83.3
"2013","Scotland","Summary activity levels","Some activity","16-24",9,NA,5.8,11.6
"2013","Scotland","Summary activity levels","Low activity","16-24",2,NA,0.7,3.8
"2013","Scotland","Summary activity levels","Very low activity","16-24",10,NA,6.8,12.8
"2013","Scotland","Summary activity levels","Meets recommendations","25-34",79,NA,75.4,82.1
"2013","Scotland","Summary activity levels","Some activity","25-34",10,NA,7.9,12.7
"2013","Scotland","Summary activity levels","Low activity","25-34",3,NA,1.5,4
